type,length_um,width_um,gap_um,thickness_um,frequency_hz,capacitance_fF,force_pN,max_deflection_nm
cantilever,500,3,1,1,5503.608893625602,13.280999999999999,66405000.0,65488165.68047339
clamped_clamped,500,3,1,1,35024.53116881489,13.280999999999999,66405000.0,65488165.68047339
cantilever,500,3,2,1,5503.608893625602,6.640499999999999,16601250.0,16372041.420118347
clamped_clamped,500,3,2,1,35024.53116881489,6.640499999999999,16601250.0,16372041.420118347
cantilever,500,3,3,1,5503.608893625602,4.427,7378333.333333332,7276462.853385931
clamped_clamped,500,3,3,1,35024.53116881489,4.427,7378333.333333332,7276462.853385931
cantilever,500,4,1,1,5503.608893625602,17.708,88539999.99999999,65488165.68047337
clamped_clamped,500,4,1,1,35024.53116881489,17.708,88539999.99999999,65488165.68047337
cantilever,500,4,2,1,5503.608893625602,8.854,22134999.999999996,16372041.420118343
clamped_clamped,500,4,2,1,35024.53116881489,8.854,22134999.999999996,16372041.420118343
cantilever,500,4,3,1,5503.608893625602,5.902666666666666,9837777.777777776,7276462.853385931
clamped_clamped,500,4,3,1,35024.53116881489,5.902666666666666,9837777.777777776,7276462.853385931
cantilever,500,5,1,1,5503.608893625602,22.134999999999998,110675000.0,65488165.6804734
clamped_clamped,500,5,1,1,35024.53116881489,22.134999999999998,110675000.0,65488165.6804734
cantilever,500,5,2,1,5503.608893625602,11.067499999999999,27668750.0,16372041.42011835
clamped_clamped,500,5,2,1,35024.53116881489,11.067499999999999,27668750.0,16372041.42011835
cantilever,500,5,3,1,5503.608893625602,7.378333333333331,12297222.222222218,7276462.85338593
clamped_clamped,500,5,3,1,35024.53116881489,7.378333333333331,12297222.222222218,7276462.85338593
